10:33:12,921 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
10:33:12,923 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
10:33:12,923 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [jar:file:/home/javaUser/disciplinary/uds-web-api/uds-web-api-V1.0.1.B.3.jar!/BOOT-INF/classes!/logback.xml]
10:33:12,956 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@5fa7e7ff - URL [jar:file:/home/javaUser/disciplinary/uds-web-api/uds-web-api-V1.0.1.B.3.jar!/BOOT-INF/classes!/logback.xml] is not of type file
10:33:13,053 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
10:33:13,072 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
10:33:13,077 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [CONSOLE]
10:33:13,087 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
10:33:13,155 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
10:33:13,161 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [FILE]
10:33:13,188 |-INFO in c.q.l.core.rolling.TimeBasedRollingPolicy@1177096266 - No compression will be used
10:33:13,190 |-INFO in c.q.l.core.rolling.TimeBasedRollingPolicy@1177096266 - Will use the pattern log/uds-web-api.%d{yyyy-MM-dd}.%i.log for the active file
10:33:13,194 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@27f8302d - The date pattern is 'yyyy-MM-dd' from file name pattern 'log/uds-web-api.%d{yyyy-MM-dd}.%i.log'.
10:33:13,194 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@27f8302d - Roll-over at midnight.
10:33:13,198 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@27f8302d - Setting initial period to Thu Apr 29 10:33:13 CST 2021
10:33:13,199 |-WARN in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@27f8302d - SizeAndTimeBasedFNATP is deprecated. Use SizeAndTimeBasedRollingPolicy instead
10:33:13,199 |-WARN in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@27f8302d - For more information see http://logback.qos.ch/manual/appenders.html#SizeAndTimeBasedRollingPolicy
10:33:13,202 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
10:33:13,204 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - Active log file name: log/uds-web-api.2021-04-29.0.log
10:33:13,204 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - File property is set to [null]
10:33:13,206 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.cetc28] to INFO
10:33:13,206 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
10:33:13,206 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[ROOT]
10:33:13,207 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [FILE] to Logger[ROOT]
10:33:13,207 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
10:33:13,208 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@4d76f3f8 - Registering current configuration as safe fallback point


  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
10:33:29.890 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
10:33:30.686 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteFileUsingDELETE_1
10:33:30.729 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: modifyUsingPUT_1
10:33:30.768 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: downloadFileUsingGET_1
10:33:30.949 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteFileUsingDELETE_2
10:33:30.952 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: downloadFileUsingGET_2
10:33:31.074 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: addTaskFillUsingPOST_1
10:33:31.077 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteFileUsingDELETE_3
10:33:31.080 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteFillWorkIdUsingDELETE_1
10:33:31.083 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: downloadFileUsingGET_3
10:33:31.087 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getPageFillByTaskIdUsingPOST_1
10:33:31.091 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getSelfFillTaskRecordUsingPOST_1
10:33:31.094 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getSelfMeetingUsingPOST_1
10:33:31.097 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getSelfMeetingThemeUsingPOST_1
10:33:31.101 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getSelfNeedFillTaskUsingPOST_1
10:33:31.104 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: modifyUsingPUT_2
10:33:31.107 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryApproverListUsingGET_1
10:33:31.109 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryByReleaseIdUsingGET_1
10:33:31.112 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: uploadFillFileUsingPOST_1
10:33:31.119 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: addTaskUsingPOST_1
10:33:31.122 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteFileUsingDELETE_4
10:33:31.125 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteTaskUsingDELETE_1
10:33:31.128 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getPageFillByTaskIdUsingGET_1
10:33:31.131 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: modifyUsingPUT_3
10:33:31.134 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryReporterListUsingGET_1
10:33:31.137 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: releaseTaskUsingPUT_1
10:33:31.139 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: selectByConditionUsingPOST_1
10:33:31.142 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: selectByUserCodeUsingPOST_1
10:33:31.144 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: uploadWorkPlanUsingPOST_1
10:33:31.150 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: approveFillWorkUsingPUT_1
10:33:31.153 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: downloadFileUsingGET_4
10:33:31.155 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getFillWorkByIdByApprUsingGET_1
10:33:31.157 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryAllApprovedSelfInfoUsingPOST_1
10:33:31.160 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryApprovalPendingUsingPOST_1
10:33:31.162 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryApprovedInfoByIdUsingGET_1
10:33:31.165 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryApprovedSelfInfoUsingPOST_1
10:33:31.197 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: addTaskFillUsingPOST_2
10:33:31.355 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteBatchUsingPOST_1
10:33:31.381 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getOrgTreeUsingGET_1
10:33:31.395 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryRoleIntersectionUsingPOST_1
10:33:31.424 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: goBackUsingGET_1
10:33:31.431 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryFileByIdUsingGET_1
10:33:31.485 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: uploadWorkPlanUsingPOST_2
10:33:31.529 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryConditionAndPageUsingPOST_1
10:33:31.725 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteBatchUsingPOST_2
10:33:31.743 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteUsingGET_1
10:33:31.759 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingPOST_1
10:33:31.763 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getSelfNeedFillTaskUsingPOST_2
10:33:31.765 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: infoUsingGET_1
10:33:31.767 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: insertUsingPOST_1
10:33:31.771 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryPageByParamUsingPOST_1
10:33:31.796 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteBatchUsingPOST_3
10:33:31.810 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getUserByOrgIdUsingGET_1
10:33:31.838 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: infoUsingGET_2
10:33:31.846 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: insertUsingPOST_2
10:33:31.850 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryAndPageUsingPOST_1
10:33:31.852 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingPUT_1
10:33:31.860 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: goBackUsingGET_2
10:33:31.868 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryAndPageUsingPOST_2
10:33:31.878 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: subReviewUsingPOST_1
10:33:31.881 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingGET_1
10:33:31.892 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: infoUsingGET_3
10:33:31.896 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryAndPageUsingPOST_3
10:33:31.917 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: downloadProblemRecordModelUsingGET_1
10:33:31.921 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: importProblemUsingPOST_1
10:33:31.923 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: infoUsingGET_4
10:33:31.925 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: queryAndPageUsingPOST_4
10:33:31.933 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingPOST_2
10:33:32.568 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
10:33:32.641 [main] DEBUG c.l.u.dao.KsDao.selectAll - ==>  Preparing: SELECT ksid,KSLX,KSSC,HGX,SFXXTS,TSKSRQ,TSJSRQ FROM t_ks 
10:33:32.689 [main] DEBUG c.l.u.dao.KsDao.selectAll - ==> Parameters: 
10:33:32.733 [main] DEBUG c.l.u.dao.KsDao.selectAll - <==      Total: 2
10:33:32.746 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8382"]
10:33:32.862 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8382 (http) with context path ''
10:33:32.868 [main] INFO  c.l.udswebapi.UdsWedApiApplication - Started UdsWedApiApplication in 19.503 seconds (JVM running for 20.425)
10:33:37.266 [http-nio-8382-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:33:37.266 [http-nio-8382-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:33:37.296 [http-nio-8382-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 30 ms
10:34:24.252 [http-nio-8382-exec-2] DEBUG c.l.u.dao.UserDao.selectByMenuPerm - ==>  Preparing: SELECT real_name as username,user_code as userCode,b.org_code as orgCode,b.org_name as orgName FROM t_user u INNER JOIN t_org b ON u.party_code=b.org_code WHERE u.user_id IN ( SELECT DISTINCT user_id FROM t_user_role WHERE role_id IN( SELECT DISTINCT role_id FROM t_role_menu WHERE menu_id= (SELECT menu_id FROM t_menu WHERE menu_perms=?))) order by b.org_code 
10:34:24.254 [http-nio-8382-exec-2] DEBUG c.l.u.dao.UserDao.selectByMenuPerm - ==> Parameters: lzjs:yjzz:rwsh(String)
10:34:24.276 [http-nio-8382-exec-2] DEBUG c.l.u.dao.UserDao.selectByMenuPerm - <==      Total: 88
10:38:25.785 [http-nio-8382-exec-4] DEBUG c.l.u.d.X.selectCondition - ==>  Preparing: SELECT distinct id, dw_bh, dw_mc, dw_fzrbh, dw_fzr, dw_ldbz, d.start_date, d.end_date FROM xcxj_target_info a LEFT JOIN ( SELECT a.object_code, b.start_date, b.end_date FROM xcxj_group_object a INNER JOIN xcxj_patrol_plan b ON a.plan_id = b.id INNER JOIN ( SELECT a.object_code, MAX( b.start_date ) max_date FROM xcxj_group_object a INNER JOIN xcxj_patrol_plan b ON a.plan_id = b.id GROUP BY a.object_code ) c ON a.object_code = c.object_code AND b.start_date = c.max_date ) d ON a.dw_bh = d.object_code where 1=1 
10:38:25.786 [http-nio-8382-exec-4] DEBUG c.l.u.d.X.selectCondition - ==> Parameters: 
10:38:25.818 [http-nio-8382-exec-4] DEBUG c.l.u.d.X.selectCondition - <==      Total: 110
10:38:25.912 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==>  Preparing: select distinct a.plan_id as planId, a.object_code as objectCode, a.object_name as ojectName, a.group_id as groupId, b.group_name as groupName, c.plan_name as planName, c.start_date as startDate, c.end_date as endDate from xcxj_work_apply a LEFT JOIN xcxj_patrol_group b on a.group_id = b.id LEFT JOIN xcxj_patrol_plan c on c.id = b.plan_id where a.group_id in (select group_id from xcxj_patrol_mem) and c.start_date between ? and ? and a.object_code =? 
10:38:25.913 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==> Parameters: 2018-04-29(String), 2021-04-29 10:38:25(String), DZ01(String)
10:38:25.916 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - <==      Total: 1
10:38:25.917 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==>  Preparing: select distinct a.plan_id as planId, a.object_code as objectCode, a.object_name as ojectName, a.group_id as groupId, b.group_name as groupName, c.plan_name as planName, c.start_date as startDate, c.end_date as endDate from xcxj_work_apply a LEFT JOIN xcxj_patrol_group b on a.group_id = b.id LEFT JOIN xcxj_patrol_plan c on c.id = b.plan_id where a.group_id in (select group_id from xcxj_patrol_mem) and c.start_date between ? and ? and a.object_code =? 
10:38:25.917 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==> Parameters: 2018-04-29(String), 2021-04-29 10:38:25(String), DZ02(String)
10:38:25.919 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - <==      Total: 1
10:38:25.920 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==>  Preparing: select distinct a.plan_id as planId, a.object_code as objectCode, a.object_name as ojectName, a.group_id as groupId, b.group_name as groupName, c.plan_name as planName, c.start_date as startDate, c.end_date as endDate from xcxj_work_apply a LEFT JOIN xcxj_patrol_group b on a.group_id = b.id LEFT JOIN xcxj_patrol_plan c on c.id = b.plan_id where a.group_id in (select group_id from xcxj_patrol_mem) and c.start_date between ? and ? and a.object_code =? 
10:38:25.921 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==> Parameters: 2018-04-29(String), 2021-04-29 10:38:25(String), DZ03(String)
10:38:25.923 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - <==      Total: 1
10:38:25.923 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==>  Preparing: select distinct a.plan_id as planId, a.object_code as objectCode, a.object_name as ojectName, a.group_id as groupId, b.group_name as groupName, c.plan_name as planName, c.start_date as startDate, c.end_date as endDate from xcxj_work_apply a LEFT JOIN xcxj_patrol_group b on a.group_id = b.id LEFT JOIN xcxj_patrol_plan c on c.id = b.plan_id where a.group_id in (select group_id from xcxj_patrol_mem) and c.start_date between ? and ? and a.object_code =? 
10:38:25.924 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==> Parameters: 2018-04-29(String), 2021-04-29 10:38:25(String), DZ04(String)
10:38:25.925 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - <==      Total: 0
10:38:25.926 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==>  Preparing: select distinct a.plan_id as planId, a.object_code as objectCode, a.object_name as ojectName, a.group_id as groupId, b.group_name as groupName, c.plan_name as planName, c.start_date as startDate, c.end_date as endDate from xcxj_work_apply a LEFT JOIN xcxj_patrol_group b on a.group_id = b.id LEFT JOIN xcxj_patrol_plan c on c.id = b.plan_id where a.group_id in (select group_id from xcxj_patrol_mem) and c.start_date between ? and ? and a.object_code =? 
10:38:25.927 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==> Parameters: 2018-04-29(String), 2021-04-29 10:38:25(String), DZ05(String)
10:38:25.928 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - <==      Total: 0
10:38:25.929 [http-nio-8382-exec-4] DEBUG c.l.u.d.XcxjTargetInfoMapper.checkDw - ==>  Preparing: select distinct a.plan_id as planId, a.object_code as objectCode, a.object_name as ojectName, a.group_id as groupId, b.group_name as groupName, c.plan_name as planName, c.start_date as startDate, c.end_date as endDate from xcxj_work_apply a LEFT JOIN xcxj_patrol_group b on a.group_id = b.id LEFT JOIN xcxj_patrol_plan c on c.id = b.plan_id where a.group_id in (select group_id from xcxj_patrol_mem) and c.start_date between ? and ? and a.object_code =? 
